       Step     Time          Energy          fmax
LBFGS:   20 12:30:30      -14.578248      128.904442
LBFGS:   21 12:30:30      -14.562460      174.785636
LBFGS:   22 12:30:30      -14.561969      128.414415
LBFGS:   23 12:30:30      -14.562202      172.949817
LBFGS:   24 12:30:30      -14.562108      170.643125
LBFGS:   25 12:30:30      -14.562450      198.002854
LBFGS:   26 12:30:30      -14.557913      261.622442
LBFGS:   27 12:30:30      -14.563195      245.191257
LBFGS:   28 12:30:30      -14.558733      259.652354
LBFGS:   29 12:30:31      -14.559928      255.380455
LBFGS:   30 12:30:31      -14.556732      267.111807
LBFGS:   31 12:30:31      -14.554793      274.758094
LBFGS:   32 12:30:31      -14.549938      295.319435
LBFGS:   33 12:30:31      -14.543165      326.204858
LBFGS:   34 12:30:31      -14.528675      388.196366
LBFGS:   35 12:30:31      -14.493025      432.286428
LBFGS:   36 12:30:31      -14.477041      446.019915
LBFGS:   37 12:30:31      -14.573183      315.583449
LBFGS:   38 12:30:31      -14.674466      317.295082
LBFGS:   39 12:30:31      -14.736900       51.805747
LBFGS:   40 12:30:31      -15.061235      161.212716
LBFGS:   41 12:30:31      -15.336535      273.396077
LBFGS:   42 12:30:31      -15.096239      215.169017
LBFGS:   43 12:30:31      -15.363961      157.116675
LBFGS:   44 12:30:31      -15.371283      133.720788
LBFGS:   45 12:30:31      -15.405828       13.387417
LBFGS:   46 12:30:31      -15.415102       26.326004
LBFGS:   47 12:30:31      -15.414778        9.923131
LBFGS:   48 12:30:31      -15.414736        0.317566
LBFGS:   49 12:30:31      -15.414990        0.313432
LBFGS:   50 12:30:31      -15.420295        0.338261
LBFGS:   51 12:30:31      -15.424302        3.527842
LBFGS:   52 12:30:31      -15.424716       47.796830
LBFGS:   53 12:30:31      -15.407575       58.994239
LBFGS:   54 12:30:32      -15.426445       51.832756
LBFGS:   55 12:30:32      -15.420527        9.963045
LBFGS:   56 12:30:32      -15.325991       35.580900
LBFGS:   57 12:30:32      -15.430179        6.592226
LBFGS:   58 12:30:32      -15.432469       59.468203
LBFGS:   59 12:30:32      -15.425764       14.962769
LBFGS:   60 12:30:32      -15.416586       24.970113
LBFGS:   61 12:30:32      -15.427083        6.978576
LBFGS:   62 12:30:32      -14.819369      180.303776
LBFGS:   63 12:30:32      -15.202560       55.266874
LBFGS:   64 12:30:32      -14.534264      519.494479
LBFGS:   65 12:30:32      -15.048609       38.303981
LBFGS:   66 12:30:32      -14.417385      254.067637
LBFGS:   67 12:30:32      -15.317553       46.505771
LBFGS:   68 12:30:32      -14.929502      508.075738
LBFGS:   69 12:30:32      -15.415615       51.779337
LBFGS:   70 12:30:32      -15.426007       85.603383
LBFGS:   71 12:30:32      -15.345556       80.523650
LBFGS:   72 12:30:32      -14.985620       44.733278
LBFGS:   73 12:30:32      -15.218086       55.859314
LBFGS:   74 12:30:32      -15.346987       31.656304
LBFGS:   75 12:30:32      -15.398981       39.912100
LBFGS:   76 12:30:32      -15.374142       71.044599
LBFGS:   77 12:30:32      -15.363029       83.981133
LBFGS:   78 12:30:33      -15.337231       92.139208
LBFGS:   79 12:30:33      -15.416038       69.427022
LBFGS:   80 12:30:33      -15.428398       70.656626
LBFGS:   81 12:30:33      -15.228909      114.910211
LBFGS:   82 12:30:33      -15.366679       72.759927
LBFGS:   83 12:30:33      -15.427824       93.941502
LBFGS:   84 12:30:33      -15.387296       78.266393
LBFGS:   85 12:30:33      -15.354824       45.793524
LBFGS:   86 12:30:33      -15.358219       22.741551
LBFGS:   87 12:30:33      -15.357141       37.790937
LBFGS:   88 12:30:33      -15.358271       29.844411
LBFGS:   89 12:30:33      -15.357602       36.100080
LBFGS:   90 12:30:33      -15.357985       34.026840
LBFGS:   91 12:30:33      -15.357214       37.506976
LBFGS:   92 12:30:33      -15.356710       38.938162
LBFGS:   93 12:30:33      -15.354376       43.402205
LBFGS:   94 12:30:33      -15.349785       49.062492
LBFGS:   95 12:30:33      -15.336999       59.616790
LBFGS:   96 12:30:33      -15.301807       79.029790
LBFGS:   97 12:30:33      -15.187502      129.067447
LBFGS:   98 12:30:33      -15.077984      236.025107
LBFGS:   99 12:30:33      -15.093300      261.742745
LBFGS:  100 12:30:33      -14.969746      305.815279
       Step     Time          Energy          fmax
LBFGS:    0 12:30:33      -10.870988       88.067968
LBFGS:    1 12:30:34      -11.080475       63.645144
LBFGS:    2 12:30:34      -11.202707       33.554949
LBFGS:    3 12:30:34      -11.215081       96.919465
LBFGS:    4 12:30:34      -11.280852       31.031280
LBFGS:    5 12:30:34      -11.297474       25.159015
LBFGS:    6 12:30:34      -11.305065        9.194325
LBFGS:    7 12:30:34      -11.311816        3.247966
LBFGS:    8 12:30:34      -11.317248        2.197934
LBFGS:    9 12:30:34      -11.329022        1.736482
LBFGS:   10 12:30:34      -11.354949        2.089707
LBFGS:   11 12:30:34      -11.371425        1.531793
LBFGS:   12 12:30:34      -11.384437        1.792714
